"2014.5",,http://itjuzi.com/investfirm/7,吃饭儿/饭通天下,消费生活,angel,数百万人民币,经纬中国
"2014.5",,http://itjuzi.com/investfirm/7,AdSame传漾科技,广告营销,c,3000万美元,经纬中国
"2014.4",,http://itjuzi.com/investfirm/7,快的打车,汽车交通,b,数千万美元,经纬中国
"2014.4",,http://itjuzi.com/investfirm/7,环信即时通讯云,移动互联网,angel,数百万人民币,经纬中国
"2014.4",,http://itjuzi.com/investfirm/7,猎聘网,企业服务,c,7000万美元,经纬中国
"2013.5",,http://itjuzi.com/investfirm/8,乐动力/北京朗动科技,移动互联网,angel,数十万美元,蓝驰创投
"2013.1",,http://itjuzi.com/investfirm/8,青云QingCloud,企业服务,a,200万美元,蓝驰创投
"2013.1",,http://itjuzi.com/investfirm/8,卡小二,金融服务,a,数百万美元,蓝驰创投
"2013.1",,http://itjuzi.com/investfirm/8,蚂蚁短租,房产酒店,a,数百万美元,蓝驰创投
"2012.9",,http://itjuzi.com/investfirm/8,冰点酒店控,房产酒店,a,数百万美元,蓝驰创投
"2012.8",刘天民,http://itjuzi.com/investfirm/8,天品网,电子商务,a,1000万美元,蓝驰创投
"2014.4","张颖,王华东",http://itjuzi.com/investfirm/7,nice品牌滤镜,移动互联网,a,800万美元,经纬中国
"2014.3",,http://itjuzi.com/investfirm/7,完美诊所/更美,医疗健康,a,数百万美元,经纬中国
"2014.3",茹海波,http://itjuzi.com/investfirm/7,闪送/同城必应科技,消费生活,angel,数百万人民币,经纬中国
"2014.3","丛真,王梦秋",http://itjuzi.com/investfirm/7,快乐学,教育培训,a,500万美元,经纬中国
"2014.2",,http://itjuzi.com/investfirm/7,黑岩网/品读者科技,多媒体娱乐,a,数百万美元,经纬中国
"2014.2","周逵,左凌烨",http://itjuzi.com/investfirm/7,土巴兔装修网,消费生活,b,10000万人民币,经纬中国
"2014.2",,http://itjuzi.com/investfirm/7,车易拍/北京巅峰科技,汽车交通,c,5000万美元,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,口袋通/起码科技,电子商务,a,数百万美元,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,富途证券/富途牛牛,金融服务,a,数千万人民币,经纬中国
"2012.5",,http://itjuzi.com/investfirm/8,杏树林,医疗健康,angel,数十万美元,蓝驰创投
"2012.1",曹巍,http://itjuzi.com/investfirm/8,口袋视频,移动互联网,angel,数百万美元,蓝驰创投
"2012.1","姜志熹,王啸",http://itjuzi.com/investfirm/8,91金融超市,金融服务,angel,数百万人民币,蓝驰创投
"2012.1",,http://itjuzi.com/investfirm/8,着迷网/乐享方登网络,游戏动漫,a,数百万美元,蓝驰创投
"2011.11","陈维广,姜志熹",http://itjuzi.com/investfirm/8,春雨掌上医生/春雨医生,医疗健康,a,300万美元,蓝驰创投
"2011.1","朱天宇,符绩勋,胡磊",http://itjuzi.com/investfirm/8,美丽说,电子商务,c,2000万美元,蓝驰创投
"2011.5",吴佳捷,http://itjuzi.com/investfirm/8,房价网,房产酒店,b,数千万美元,蓝驰创投
"2011.2",朱天宇,http://itjuzi.com/investfirm/8,唱吧,移动互联网,a,数百万美元,蓝驰创投
"2010.12",朱天宇,http://itjuzi.com/investfirm/8,美丽说,电子商务,a,200万美元,蓝驰创投
"2010.5",,http://itjuzi.com/investfirm/8,赶集网,消费生活,b,2000万美元,蓝驰创投
"2014.1",,http://itjuzi.com/investfirm/7,富途网/富途证券,金融服务,a,数千万人民币,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,e代驾,汽车交通,b,数千万美元,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,新氧网/名仕优翔,消费生活,a,数百万美元,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,#Sight锋时互动/微动,电子硬件,angel,数百万人民币,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,卓正医疗,医疗健康,b,数千万人民币,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,酒店哥哥,房产酒店,a,400万人民币,经纬中国
"2014.1",,http://itjuzi.com/investfirm/7,拇指阅读/上海珠玑文化,媒体资讯,angel,数百万人民币,经纬中国
"2014.1",王华东,http://itjuzi.com/investfirm/7,西柚经期助手/美柚女生助手,医疗健康,b,1500万美元,经纬中国
"2014.1","潘翔,张矩",http://itjuzi.com/investfirm/7,青云QingCloud,企业服务,b,2000万美元,经纬中国
"2013.12",,http://itjuzi.com/investfirm/7,找钢网,电子商务,c,3480万美元,经纬中国
"2013.12",汤和松,http://itjuzi.com/investfirm/7,YOKA时尚网,媒体资讯,c,1500万美元,经纬中国
"2010.2",,http://itjuzi.com/investfirm/8,优谈网/禹容网络,SNS社交网络,angel,1000万人民币,蓝驰创投
"2009.1",,http://itjuzi.com/investfirm/8,赶集网,消费生活,a,800万美元,蓝驰创投
"2008.8",吴佳捷,http://itjuzi.com/investfirm/8,房价网,房产酒店,a,数百万美元,蓝驰创投
"2006.1",陈维广,http://itjuzi.com/investfirm/8,PPTV聚力传媒/PPLive,多媒体娱乐,a,数百万美元,蓝驰创投
"2013.12",,http://itjuzi.com/investfirm/7,点名时间,电子硬件,a,数百万美元,经纬中国
"2013.11",庄明浩,http://itjuzi.com/investfirm/7,8868交易平台,游戏动漫,a,未透露人民币,经纬中国
"2013.11",丛真,http://itjuzi.com/investfirm/7,饿了么/订奶茶,电子商务,c,2500万美元,经纬中国
"2013.11",,http://itjuzi.com/investfirm/7,Seafile/海文互知,工具软件,angel,数百万人民币,经纬中国
"2013.1",王华东,http://itjuzi.com/investfirm/7,凯奇谷游戏/超级英雄,游戏动漫,a,数百万美元,经纬中国
"2013.1",,http://itjuzi.com/investfirm/7,幻腾智能Phantom,电子硬件,angel,150万美元,经纬中国
"2013.1",,http://itjuzi.com/investfirm/7,快的打车,汽车交通,a,400万美元,经纬中国
"2014.11",,http://itjuzi.com/investfirm/3,博湃养车/易捷卡,汽车交通,a,数千万人民币,创新工场
"2014.11",,http://itjuzi.com/investfirm/3,Face++/旷视科技,工具软件,b,2200万美元,创新工场
